Identifier,Observation_Date,Estimated_Median_Household_Income,2021_estimated_population,2020_census,Note,Link_to_Survey,,
201101,1/1/2011,"$49,461.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201201,1/1/2012,"$50,895.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201301,1/1/2013,"$52,223.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201401,1/1/2014,"$52,996.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201501,1/1/2015,"$55,752.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201601,1/1/2016,"$58,856.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201701,1/1/2017,"$60,879.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201801,1/1/2018,"$63,799.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201901,1/1/2019,"$69,407.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202001,1/1/2020,"$67,046.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202101,1/1/2021,"$67,997.00 ",8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201102,1/1/2011,"$46,148.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201202,1/1/2012,"$46,803.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201302,1/1/2013,"$48,466.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201402,1/1/2014,"$50,544.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201502,1/1/2015,"$52,024.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201602,1/1/2016,"$54,432.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201702,1/1/2017,"$60,197.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201802,1/1/2018,"$62,474.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201902,1/1/2019,"$67,418.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202002,1/1/2020,"$65,290.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202102,1/1/2021,"$70,372.00 ",3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201103,1/1/2011,"$43,628.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201203,1/1/2012,"$45,214.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201303,1/1/2013,"$47,099.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201403,1/1/2014,"$48,734.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201503,1/1/2015,"$50,702.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201603,1/1/2016,"$53,006.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201703,1/1/2017,"$55,295.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201803,1/1/2018,"$57,238.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201903,1/1/2019,"$61,811.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202003,1/1/2020,"$62,097.00 ",2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
