Observation_Date,15_Year_Annual_Average_Rate,15_Year_Annual_Average_Points,30_Year_Annual_Average_Rate,30_Year_Annual_Average_Points,Data_Source_Link
1/1/2011,3.68,0.70,4.45,0.70,https://www.freddiemac.com/pmms/pmms30
1/1/2012,2.93,0.70,3.66,0.70,https://www.freddiemac.com/pmms/pmms30
1/1/2013,3.11,0.70,3.98,0.70,https://www.freddiemac.com/pmms/pmms30
1/1/2014,3.29,0.60,4.17,0.60,https://www.freddiemac.com/pmms/pmms30
1/1/2015,3.09,0.60,3.85,0.60,https://www.freddiemac.com/pmms/pmms30
1/1/2016,2.93,0.50,3.65,0.50,https://www.freddiemac.com/pmms/pmms30
1/1/2017,3.28,0.50,3.99,0.50,https://www.freddiemac.com/pmms/pmms30
1/1/2018,4.00,0.50,4.54,0.50,https://www.freddiemac.com/pmms/pmms30
1/1/2019,3.39,0.48,3.94,0.53,https://www.freddiemac.com/pmms/pmms30
1/1/2020,2.61,0.70,3.11,0.74,https://www.freddiemac.com/pmms/pmms30
1/1/2021,2.27,0.63,2.96,0.69,https://www.freddiemac.com/pmms/pmms30
