City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Household_Income_Not_Seasonally_Adjusted_(weighted)_SAIPE,Estimated_Median_Household_Income_ACS,Estimated_Mean_Household_Income_ACS,Estimated_Median_Household_Income_Families_ACS,Estimated_Mean_Household_Income_Families_ACS,Estimated_Median_Household_Income_Married_Couples_ACS,Estimated_Mean_Household_Income_Married_Couples_ACS,Estimated_Median_Household_Income_Nonfamilies_ACS,Estimated_Mean_Household_Income_Nonfamilies_ACS,2021_estimated_population,2020_census,
1,New York,NY,New York,1/1/2011," $49,698.88 "," $49,461.00 "," $78,403.00 "," $54,330.00 "," $85,926.00 "," $73,180.00 "," $111,308.00 "," $37,577.00 "," $64,025.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2012," $51,067.37 "," $50,895.00 "," $79,037.00 "," $55,240.00 "," $86,261.00 "," $75,237.00 "," $111,099.00 "," $40,758.00 "," $65,473.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2013," $53,189.19 "," $52,223.00 "," $84,292.00 "," $58,012.00 "," $92,717.00 "," $79,383.00 "," $119,562.00 "," $41,247.00 "," $68,706.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2014," $54,467.46 "," $52,996.00 "," $85,356.00 "," $58,729.00 "," $94,871.00 "," $80,225.00 "," $122,970.00 "," $41,452.00 "," $67,858.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2015," $56,675.35 "," $55,752.00 "," $89,680.00 "," $61,413.00 "," $99,205.00 "," $82,587.00 "," $127,417.00 "," $43,201.00 "," $71,639.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2016," $59,306.76 "," $58,856.00 "," $93,162.00 "," $65,440.00 "," $104,378.00 "," $86,868.00 "," $133,684.00 "," $45,345.00 "," $72,598.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2017," $61,961.28 "," $60,879.00 "," $97,836.00 "," $68,353.00 "," $109,733.00 "," $90,941.00 "," $138,359.00 "," $45,326.00 "," $75,363.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2018," $64,846.53 "," $63,799.00 "," $101,892.00 "," $72,268.00 "," $115,305.00 "," $94,543.00 "," $144,992.00 "," $47,113.00 "," $77,197.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2019," $70,331.17 "," $69,407.00 "," $110,101.00 "," $78,113.00 "," $124,203.00 "," $102,337.00 "," $155,706.00 "," $51,293.00 "," $84,844.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2020," $72,365.75 "," $67,046.00 "," $107,000.00 "," $75,865.00 "," $119,691.00 "," $99,936.00 "," $150,898.00 "," $50,460.00 "," $83,094.00 ",8467513,8804190,
1,New York,NY,New York,1/1/2021,," $67,997.00 "," $107,684.00 "," $77,219.00 "," $122,049.00 "," $102,365.00 "," $155,051.00 "," $50,765.00 "," $82,520.00 ",8467513,8804190,
2,California,CA,Los Angeles,1/1/2011," $52,239.00 "," $46,148.00 "," $72,787.00 "," $50,588.00 "," $80,947.00 "," $66,242.00 "," $101,010.00 "," $35,681.00 "," $56,465.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2012," $52,929.00 "," $46,803.00 "," $72,528.00 "," $51,215.00 "," $80,880.00 "," $66,677.00 "," $100,189.00 "," $36,990.00 "," $56,625.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2013," $54,443.00 "," $48,466.00 "," $77,469.00 "," $52,382.00 "," $86,088.00 "," $69,183.00 "," $106,871.00 "," $37,034.00 "," $60,174.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2014," $55,686.00 "," $50,544.00 "," $80,620.00 "," $55,147.00 "," $89,793.00 "," $73,543.00 "," $113,311.00 "," $39,756.00 "," $63,027.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2015," $59,045.00 "," $52,024.00 "," $83,329.00 "," $58,824.00 "," $94,137.00 "," $76,296.00 "," $116,716.00 "," $40,849.00 "," $62,907.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2016," $61,308.00 "," $54,432.00 "," $86,370.00 "," $61,372.00 "," $98,541.00 "," $79,866.00 "," $120,678.00 "," $41,386.00 "," $64,293.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2017," $64,912.00 "," $60,197.00 "," $91,496.00 "," $67,685.00 "," $104,969.00 "," $86,614.00 "," $127,091.00 "," $44,981.00 "," $68,017.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2018," $67,986.00 "," $62,474.00 "," $96,223.00 "," $70,932.00 "," $108,637.00 "," $89,170.00 "," $132,390.00 "," $47,486.00 "," $73,416.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2019," $72,721.00 "," $67,418.00 "," $103,011.00 "," $76,277.00 "," $117,127.00 "," $97,261.00 "," $143,989.00 "," $50,644.00 "," $76,904.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2020," $75,624.00 "," $65,290.00 "," $101,006.00 "," $74,471.00 "," $115,430.00 "," $95,203.00 "," $140,644.00 "," $48,887.00 "," $75,115.00 ",3849297,3898747,
2,California,CA,Los Angeles,1/1/2021,," $70,372.00 "," $105,555.00 "," $82,317.00 "," $121,938.00 "," $102,904.00 "," $150,031.00 "," $50,415.00 "," $76,745.00 ",3849297,3898747,
3,Illinois,IL,Chicago,1/1/2011," $50,806.00 "," $43,628.00 "," $66,383.00 "," $49,442.00 "," $76,121.00 "," $71,969.00 "," $102,884.00 "," $36,219.00 "," $52,864.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2012," $52,160.00 "," $45,214.00 "," $69,516.00 "," $51,235.00 "," $79,703.00 "," $72,888.00 "," $105,723.00 "," $36,358.00 "," $55,190.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2013," $53,795.00 "," $47,099.00 "," $72,122.00 "," $54,423.00 "," $83,244.00 "," $78,007.00 "," $111,129.00 "," $37,689.00 "," $57,056.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2014," $55,058.00 "," $48,734.00 "," $72,881.00 "," $55,837.00 "," $84,208.00 "," $78,062.00 "," $110,542.00 "," $38,927.00 "," $57,060.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2015," $56,841.00 "," $50,702.00 "," $78,414.00 "," $59,134.00 "," $91,466.00 "," $84,485.00 "," $120,023.00 "," $40,438.00 "," $61,417.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2016," $60,025.00 "," $53,006.00 "," $81,641.00 "," $62,960.00 "," $95,609.00 "," $88,347.00 "," $123,265.00 "," $41,895.00 "," $63,453.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2017," $61,401.00 "," $55,295.00 "," $84,552.00 "," $64,441.00 "," $99,207.00 "," $91,361.00 "," $129,408.00 "," $43,203.00 "," $65,599.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2018," $63,347.00 "," $57,238.00 "," $89,813.00 "," $67,206.00 "," $106,939.00 "," $95,906.00 "," $139,147.00 "," $45,215.00 "," $67,901.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2019," $69,375.00 "," $61,811.00 "," $97,162.00 "," $76,360.00 "," $119,294.00 "," $107,651.00 "," $154,141.00 "," $45,744.00 "," $70,537.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2020," $71,611.00 "," $62,097.00 "," $94,733.00 "," $74,580.00 "," $113,336.00 "," $104,021.00 "," $146,244.00 "," $48,764.00 "," $71,464.00 ",2696555,2746388,
3,Illinois,IL,Chicago,1/1/2021,," $66,576.00 "," $101,179.00 "," $81,796.00 "," $122,958.00 "," $113,115.00 "," $158,916.00 "," $50,980.00 "," $75,984.00 ",2696555,2746388,
4,Texas,TX,Houston,1/1/2011," $51,487.14 "," $42,877.00 "," $68,895.00 "," $47,463.00 "," $76,876.00 "," $66,320.00 "," $98,550.00 "," $35,194.00 "," $54,077.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2012," $51,924.56 "," $42,847.00 "," $68,953.00 "," $48,122.00 "," $78,989.00 "," $65,802.00 "," $101,328.00 "," $33,445.00 "," $51,216.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2013," $53,170.90 "," $45,353.00 "," $72,796.00 "," $49,886.00 "," $81,306.00 "," $66,458.00 "," $103,141.00 "," $37,057.00 "," $57,368.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2014," $54,848.38 "," $45,460.00 "," $73,827.00 "," $50,776.00 "," $85,348.00 "," $68,531.00 "," $109,301.00 "," $35,638.00 "," $54,053.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2015," $57,363.43 "," $48,064.00 "," $76,576.00 "," $52,024.00 "," $86,118.00 "," $72,315.00 "," $111,934.00 "," $37,870.00 "," $57,475.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2016," $57,038.27 "," $47,793.00 "," $77,312.00 "," $52,603.00 "," $87,414.00 "," $73,124.00 "," $113,067.00 "," $38,351.00 "," $59,204.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2017," $59,259.14 "," $50,896.00 "," $82,151.00 "," $56,751.00 "," $94,431.00 "," $77,682.00 "," $120,931.00 "," $40,156.00 "," $60,034.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2018," $60,819.40 "," $51,203.00 "," $81,572.00 "," $56,693.00 "," $91,903.00 "," $78,093.00 "," $118,236.00 "," $40,054.00 "," $61,362.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2019," $62,354.45 "," $52,450.00 "," $85,505.00 "," $60,190.00 "," $99,364.00 "," $81,253.00 "," $128,426.00 "," $40,770.00 "," $61,565.00 ",2288250,2304580,
4,Texas,TX,Houston,1/1/2020," $62,542.75 "," $53,600.00 "," $86,249.00 "," $61,128.00 "," $99,370.00 "," $83,287.00 "," $127,471.00 "," $41,950.00 "," $63,338.00 ",2288250,2304580,
