Identifier,City_Rank_by_Population(2021),State,State_Abbreviation,City,Observation_Date,Single_Family_Median_Typical_Home_Value,One_Bedroom_Median_Typical_Home_Value,Two_Bedroom_Median_Typical_Home_Value,Three_Bedroom_Median_Typical_Home_Value,Four_Bedroom_Median_Typical_Home_Value,Five_Plus_Bedroom_Median_Typical_Home_Value,Data_Source_Link
201101,1,New York,NY,New York,1/1/2011,460824.00,419555.50,549450.50,455413.00,532583.50,659430.50,https://www.zillow.com/research/data/
201201,1,New York,NY,New York,1/1/2012,453166.50,421581.50,549293.00,448447.00,526229.00,657157.50,https://www.zillow.com/research/data/
201301,1,New York,NY,New York,1/1/2013,467125.50,445182.50,579800.50,461446.50,543111.50,688458.00,https://www.zillow.com/research/data/
201401,1,New York,NY,New York,1/1/2014,499898.00,487199.50,634870.50,493995.00,588659.00,757356.50,https://www.zillow.com/research/data/
201501,1,New York,NY,New York,1/1/2015,526189.00,536285.00,689511.50,522588.50,628622.00,830589.00,https://www.zillow.com/research/data/
201601,1,New York,NY,New York,1/1/2016,564503.50,569297.50,670378.00,556116.50,671733.50,902753.00,https://www.zillow.com/research/data/
201701,1,New York,NY,New York,1/1/2017,609639.00,596954.50,704059.00,599185.00,723163.50,974056.00,https://www.zillow.com/research/data/
201801,1,New York,NY,New York,1/1/2018,657625.00,616076.50,736671.00,647903.50,779734.00,1045178.00,https://www.zillow.com/research/data/
201901,1,New York,NY,New York,1/1/2019,674181.50,611226.50,742837.50,660848.00,795054.00,1074956.00,https://www.zillow.com/research/data/
202001,1,New York,NY,New York,1/1/2020,674022.50,601245.00,733223.00,659853.50,791277.00,1075888.50,https://www.zillow.com/research/data/
202101,1,New York,NY,New York,1/1/2021,706417.00,603709.00,751189.00,690397.50,829040.00,1127861.00,https://www.zillow.com/research/data/
201102,2,California,CA,Los Angeles,1/1/2011,435480.00,272758.50,344333.00,401657.00,529030.50,1035366.50,https://www.zillow.com/research/data/
201202,2,California,CA,Los Angeles,1/1/2012,427431.00,265623.00,334394.50,392497.00,518414.50,1024005.00,https://www.zillow.com/research/data/
201302,2,California,CA,Los Angeles,1/1/2013,509581.50,325530.50,404488.50,467068.00,609053.00,1189716.00,https://www.zillow.com/research/data/
201402,2,California,CA,Los Angeles,1/1/2014,560058.50,366900.50,450210.50,514182.00,665534.00,1301142.00,https://www.zillow.com/research/data/
201502,2,California,CA,Los Angeles,1/1/2015,592037.00,392237.00,477165.00,542274.50,695501.50,1357641.00,https://www.zillow.com/research/data/
201602,2,California,CA,Los Angeles,1/1/2016,639353.50,427137.00,518834.00,586130.50,740608.50,1430196.00,https://www.zillow.com/research/data/
201702,2,California,CA,Los Angeles,1/1/2017,681041.50,458963.50,558121.00,625633.00,780992.50,1499041.50,https://www.zillow.com/research/data/
201802,2,California,CA,Los Angeles,1/1/2018,740088.00,504160.50,615996.00,679772.50,839575.50,1604369.50,https://www.zillow.com/research/data/
201902,2,California,CA,Los Angeles,1/1/2019,749090.00,510428.00,625041.00,687367.00,847294.50,1617306.50,https://www.zillow.com/research/data/
202002,2,California,CA,Los Angeles,1/1/2020,792644.00,528657.00,656899.50,729169.50,894337.50,1676027.00,https://www.zillow.com/research/data/
202102,2,California,CA,Los Angeles,1/1/2021,937656.50,575026.00,746089.50,860336.50,1066739.50,1949031.50,https://www.zillow.com/research/data/
201103,3,Illinois,IL,Chicago,1/1/2011,188293.50,174061.50,195267.00,196828.50,228488.00,254071.50,https://www.zillow.com/research/data/
