City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date, Median_Typical_Rental_Rate ,Link
1,New York,NY,New York,1/1/2015," $2,825.46 ",https://www.zillow.com/research/data/
2,California,CA,Los Angeles,1/1/2015," $2,076.61 ",https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,1/1/2015," $1,616.14 ",https://www.zillow.com/research/data/
4,Texas,TX,Houston,1/1/2015," $1,306.41 ",https://www.zillow.com/research/data/
5,Arizona,AZ,Phoenix,1/1/2015, $971.91 ,https://www.zillow.com/research/data/
6,Pennsylvania,PA,Philadelphia,1/1/2015," $1,315.50 ",https://www.zillow.com/research/data/
7,Texas,TX,San Antonio,1/1/2015," $1,044.35 ",https://www.zillow.com/research/data/
8,California,CA,San Diego,1/1/2015," $1,973.92 ",https://www.zillow.com/research/data/
9,Texas,TX,Dallas,1/1/2015," $1,256.02 ",https://www.zillow.com/research/data/
10,California,CA,San Jose,1/1/2015," $2,630.88 ",https://www.zillow.com/research/data/
11,Texas,TX,Austin,1/1/2015," $1,295.15 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2015," $1,039.27 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2015," $1,107.19 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2015, $952.75 ,https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2015, $857.25 ,https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2015," $1,148.18 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2015," $3,418.17 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2015," $1,768.08 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2015," $1,483.62 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2015, $930.03 ,https://www.zillow.com/research/data/
21,Tennessee,TN,Nashville,1/1/2015," $1,241.96 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2015," $1,040.09 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2015," $2,122.70 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2015," $2,355.65 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2015," $1,067.33 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2015," $1,415.21 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2015, $833.60 ,https://www.zillow.com/research/data/
