City_Rank_by_Population(2021),State,State_Abbrieviation,City,Median_Typical_Home_Value,Observation_Date,Source
1,New York,NY,New York,460824,1/1/2011,https://www.zillow.com/research/data/
1,New York,NY,New York,453166.5,1/1/2012,https://www.zillow.com/research/data/
1,New York,NY,New York,467125.5,1/1/2013,https://www.zillow.com/research/data/
1,New York,NY,New York,499898,1/1/2014,https://www.zillow.com/research/data/
1,New York,NY,New York,526189,1/1/2015,https://www.zillow.com/research/data/
1,New York,NY,New York,564503.5,1/1/2016,https://www.zillow.com/research/data/
1,New York,NY,New York,609639,1/1/2017,https://www.zillow.com/research/data/
1,New York,NY,New York,657625,1/1/2018,https://www.zillow.com/research/data/
1,New York,NY,New York,674181.5,1/1/2019,https://www.zillow.com/research/data/
1,New York,NY,New York,674022.5,1/1/2020,https://www.zillow.com/research/data/
1,New York,NY,New York,706417,1/1/2021,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,435480,1/1/2011,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,427431,1/1/2012,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,509581.5,1/1/2013,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,560058.5,1/1/2014,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,592037,1/1/2015,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,639353.5,1/1/2016,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,681041.5,1/1/2017,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,740088,1/1/2018,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,749090,1/1/2019,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,792644,1/1/2020,https://www.zillow.com/research/data/
2,California,CA,Los Angeles,937656.5,1/1/2021,https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,188293.5,1/1/2011,https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,172570,1/1/2012,https://www.zillow.com/research/data/
