Identifier,Observation_Date,Estimated_Median_Household_Income,2021_estimated_population,2020_census,Note,Link_to_Survey
201101,1/1/2011,49461,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201201,1/1/2012,50895,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201301,1/1/2013,52223,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201401,1/1/2014,52996,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201501,1/1/2015,55752,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201601,1/1/2016,58856,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201701,1/1/2017,60879,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201801,1/1/2018,63799,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201901,1/1/2019,69407,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202001,1/1/2020,67046,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202101,1/1/2021,67997,8467513,8804190, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201102,1/1/2011,46148,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201202,1/1/2012,46803,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201302,1/1/2013,48466,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201402,1/1/2014,50544,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201502,1/1/2015,52024,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201602,1/1/2016,54432,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201702,1/1/2017,60197,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201802,1/1/2018,62474,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201902,1/1/2019,67418,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202002,1/1/2020,65290,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202102,1/1/2021,70372,3849297,3898747, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201103,1/1/2011,43628,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201203,1/1/2012,45214,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201303,1/1/2013,47099,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201403,1/1/2014,48734,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201503,1/1/2015,50702,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201603,1/1/2016,53006,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201703,1/1/2017,55295,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201803,1/1/2018,57238,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201903,1/1/2019,61811,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202003,1/1/2020,62097,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202103,1/1/2021,66576,2696555,2746388, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201104,1/1/2011,42877,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201204,1/1/2012,42847,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201304,1/1/2013,45353,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201404,1/1/2014,45460,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201504,1/1/2015,48064,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201604,1/1/2016,47793,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201704,1/1/2017,50896,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201804,1/1/2018,51203,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201904,1/1/2019,52450,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202004,1/1/2020,53600,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
202104,1/1/2021,55499,2288250,2304580, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201105,1/1/2011,43960,1624569,1608139, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201205,1/1/2012,44153,1624569,1608139, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201305,1/1/2013,46601,1624569,1608139, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201405,1/1/2014,47929,1624569,1608139, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201505,1/1/2015,48452,1624569,1608139, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
201605,1/1/2016,52062,1624569,1608139, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html
