City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Taxes,Median_Typical_Home_Value,AnnualAverageRate15Year,15yr_Payment_10_Perc_Down,15yr_Payment_20_Perc_Down,AnnualAverageRate30Year,30yr_Payment_10_Perc_Down,30yr_Payment_20_Perc_Down
1,New York,NY,New York,1/1/2011,3382,460824.0,3.68,3001.7113564031374,2668.187872358344,4.45,2089.131247024896,1857.0055529110186
1,New York,NY,New York,1/1/2012,3519,453166.5,2.93,2802.825760718927,2491.4006761946016,3.66,1868.0481966348007,1660.4872858976003
1,New York,NY,New York,1/1/2013,3666,467125.5,3.11,2925.5878938297424,2600.522572293104,3.98,2002.2712873030985,1779.7966998249763
1,New York,NY,New York,1/1/2014,3925,499898.0,3.29,3170.1183015646798,2817.88293472416,4.17,2192.2577750202804,1948.6735777958052
1,New York,NY,New York,1/1/2015,4126,526189.0,3.09,3290.9256962603818,2925.2672855647834,3.85,2220.1356142280824,1973.453879313851
1,New York,NY,New York,1/1/2016,4395,564503.5,2.93,3491.4428842732127,3103.5047860206337,3.65,2324.1377089694824,2065.900185750651
1,New York,NY,New York,1/1/2017,4675,609639.0,3.28,3863.373607173153,3434.109873042803,3.99,2616.2966561683133,2325.5970277051674
1,New York,NY,New York,1/1/2018,4935,657625.0,4.0,4377.935448709094,3891.4981766303054,4.54,3012.963589783549,2678.189857585377
1,New York,NY,New York,1/1/2019,5495,674181.5,3.39,4304.942955988294,3826.6159608784837,3.94,2875.8319946055617,2556.295106316055
1,New York,NY,New York,1/1/2020,58675,674022.5,2.61,4076.365136161391,3623.435676587903,3.11,2593.663930342245,2305.4790491931067
1,New York,NY,New York,1/1/2021,66245,706417.0,2.27,4170.790272026042,3707.3691306898145,2.96,2666.7582452690167,2370.451773572459
2,California,CA,Los Angeles,1/1/2011,3777,435480.0,3.68,2836.6258300054646,2521.4451822270794,4.45,1974.2350126174022,1754.875566771024
2,California,CA,Los Angeles,1/1/2012,3822,427431.0,2.93,2643.652206705155,2349.9130726268045,3.66,1761.9610203662658,1566.1875736589031
2,California,CA,Los Angeles,1/1/2013,3985,509581.5,3.11,3191.48808472156,2836.878297530275,3.98,2184.2532809509303,1941.5584719563824
2,California,CA,Los Angeles,1/1/2014,4045,560058.5,3.29,3551.627933692197,3157.002607726398,4.17,2456.086243776122,2183.187772245442
2,California,CA,Los Angeles,1/1/2015,4309,592037.0,3.09,3702.7565692876656,3291.3391727001476,3.85,2497.9663745170487,2220.4145551262654
2,California,CA,Los Angeles,1/1/2016,4477,639353.5,2.93,3954.388640832472,3515.01212518442,3.65,2632.3053421486666,2339.826970798815
2,California,CA,Los Angeles,1/1/2017,4670,681041.5,3.28,4315.86193876969,3836.3217233508362,3.99,2922.724102562094,2597.9769800551953
2,California,CA,Los Angeles,1/1/2018,5069,740088.0,4.0,4926.90741739474,4379.4732599064355,4.54,3390.774677416047,3014.0219354809306
2,California,CA,Los Angeles,1/1/2019,5398,749090.0,3.39,4783.266403633548,4251.792358785377,3.94,3195.3665130815366,2840.3257894058106
2,California,CA,Los Angeles,1/1/2020,5022,792644.0,2.61,4793.76633122412,4261.125627754774,3.11,3050.123923759516,2711.2212655640146
2,California,CA,Los Angeles,1/1/2021,6277,937656.5,2.27,5536.062423047557,4920.944376042274,2.96,3539.698510377139,3146.3986758907904
3,Illinois,IL,Chicago,1/1/2011,3386,188293.5,3.68,1226.5045598469135,1090.226275419479,4.45,853.6227159646248,758.775747524111
3,Illinois,IL,Chicago,1/1/2012,3663,172570.0,2.93,1067.342006806031,948.7484504942497,3.66,711.3700533761156,632.328936334325
3,Illinois,IL,Chicago,1/1/2013,3645,181089.5,3.11,1134.1561291337791,1008.1387814522482,3.98,776.2160410469444,689.9698142639505
3,Illinois,IL,Chicago,1/1/2014,3624,197298.0,3.29,1251.1712402572286,1112.1522135619812,4.17,865.2326564538193,769.0956946256173
3,Illinois,IL,Chicago,1/1/2015,3818,207696.5,3.09,1298.9890493213356,1154.6569327300763,3.85,876.3284610672646,778.9586320597908
3,Illinois,IL,Chicago,1/1/2016,3833,219346.0,2.93,1356.6506335103184,1205.9116742313943,3.65,903.0773235447081,802.7353987064072
3,Illinois,IL,Chicago,1/1/2017,4105,234363.5,3.28,1485.1965841829758,1320.1747414959787,3.99,1005.7828343952773,894.0291861291356
3,Illinois,IL,Chicago,1/1/2018,4565,244208.0,4.0,1625.7393804346707,1445.1016714974853,4.54,1118.8592470387548,994.5415529233377
3,Illinois,IL,Chicago,1/1/2019,4635,248326.0,3.39,1585.6698299919963,1409.4842933262191,3.94,1059.2753670820405,941.5781040729249
3,Illinois,IL,Chicago,1/1/2020,4615,252159.5,2.61,1525.0146613086185,1355.5685878298832,3.11,970.3192398519861,862.5059909795433
3,Illinois,IL,Chicago,1/1/2021,11032,282580.0,2.27,1668.3940435594257,1483.0169276083784,2.96,1066.7531287442384,948.2250033282119
4,Texas,TX,Houston,1/1/2011,2984,124864.0,3.68,813.3380353582307,722.9671425406495,4.45,566.0670538611631,503.1707145432561
4,Texas,TX,Houston,1/1/2012,2952,124078.0,2.93,767.4199543401443,682.1510705245727,3.66,511.4757691533967,454.6451281363527
4,Texas,TX,Houston,1/1/2013,3144,134300.5,3.11,841.1185365287944,747.6609213589284,3.98,575.6612195661545,511.6988618365819
4,Texas,TX,Houston,1/1/2014,3158,148960.0,3.29,944.6343498095105,839.6749776084537,4.17,653.2506994767352,580.6672884237647
