,"Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Anaheim city, California","Anaheim city, California","Anaheim city, California","Anaheim city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Fresno city, California","Fresno city, California","Fresno city, California","Fresno city, California","Irvine city, California","Irvine city, California","Irvine city, California","Irvine city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Oakland city, California","Oakland city, California","Oakland city, California","Oakland city, California","Riverside city, California","Riverside city, California","Riverside city, California","Riverside city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Jose city, California","San Jose city, California","San Jose city, California","San Jose city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Stockton city, California","Stockton city, California","Stockton city, California","Stockton city, California","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","New York city, New York","New York city, New York","New York city, New York","New York city, New York","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin"
Label,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
HOUSING OCCUPANCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total housing units,"113,111","±1,046","113,111",(X),"197,039","±5,268","197,039",(X),"601,370","±7,751","601,370",(X),"230,047","±4,064","230,047",(X),"107,363","±3,666","107,363",(X),"118,727","±3,473","118,727",(X),"169,426","±3,450","169,426",(X),"81,468","±2,980","81,468",(X),"174,236","±4,764","174,236",(X),"1,421,938","±10,327","1,421,938",(X),"172,774","±3,879","172,774",(X),"97,695","±4,133","97,695",(X),"192,372","±4,968","192,372",(X),"514,366","±6,961","514,366",(X),"376,777","±1,401","376,777",(X),"312,541","±4,703","312,541",(X),"74,972","±2,694","74,972",(X),"100,835","±2,732","100,835",(X),"128,354","±2,849","128,354",(X),"180,535","±2,463","180,535",(X),"285,859","±1,895","285,859",(X),"296,836",±63,"296,836",(X),"368,037","±4,746","368,037",(X),"188,150","±6,255","188,150",(X),"119,552","±4,003","119,552",(X),"158,988","±3,986","158,988",(X),"225,203","±5,823","225,203",(X),"1,189,053","±7,086","1,189,053",(X),"380,859","±2,715","380,859",(X),"169,058","±1,897","169,058",(X),"190,154","±1,837","190,154",(X),"296,584","±1,348","296,584",(X),"277,949","±3,571","277,949",(X),"360,675","±4,953","360,675",(X),"184,814","±3,848","184,814",(X),"120,250","±2,543","120,250",(X),"110,486","±1,458","110,486",(X),"178,149","±1,792","178,149",(X),"114,295","±3,755","114,295",(X),"253,903","±5,307","253,903",(X),"109,573","±2,820","109,573",(X),"108,907","±3,620","108,907",(X),"240,232","±2,039","240,232",(X),"3,370,647","±4,509","3,370,647",(X),"125,702","±2,979","125,702",(X),"161,201","±4,812","161,201",(X),"214,220","±4,327","214,220",(X),"370,544","±4,111","370,544",(X),"187,281","±2,560","187,281",(X),"263,890","±2,884","263,890",(X),"670,022","±4,073","670,022",(X),"153,756","±3,447","153,756",(X),"293,845","±3,302","293,845",(X),"146,638","±3,785","146,638",(X),"354,988","±5,209","354,988",(X),"124,620","±1,582","124,620",(X),"514,372","±6,971","514,372",(X),"230,485","±1,937","230,485",(X),"902,745","±7,429","902,745",(X),"105,307","±2,905","105,307",(X),"525,799","±4,754","525,799",(X),"178,117",±840,"178,117",(X),"302,514","±6,008","302,514",(X),"258,694","±3,433","258,694",(X)
Occupied housing units,"104,993","±2,002",92.80%,±1.5,"162,691","±4,466",82.60%,±1.5,"511,432","±7,172",85.00%,±0.8,"201,761","±4,584",87.70%,±1.3,"100,404","±3,112",93.50%,±1.5,"109,420","±3,039",92.20%,±1.5,"152,890","±3,242",90.20%,±1.3,"76,172","±2,460",93.50%,±1.7,"158,386","±4,102",90.90%,±1.1,"1,310,259","±9,520",92.10%,±0.3,"151,808","±3,746",87.90%,±1.2,"87,752","±3,694",89.80%,±1.9,"176,168","±5,046",91.60%,±1.3,"469,635","±6,664",91.30%,±0.6,"336,012","±4,358",89.20%,±1.0,"297,637","±4,429",95.20%,±0.6,"71,288","±2,600",95.10%,±1.2,"91,200","±2,669",90.40%,±1.8,"119,559","±3,177",93.10%,±1.3,"167,361","±3,084",92.70%,±1.2,"262,093","±3,662",91.70%,±1.1,"252,388","±3,730",85.00%,±1.3,"308,173","±6,302",83.70%,±1.3,"145,822","±4,810",77.50%,±1.6,"96,753","±3,793",80.90%,±2.0,"133,070","±3,857",83.70%,±1.6,"172,159","±5,268",76.40%,±1.4,"1,014,576","±8,579",85.30%,±0.6,"322,700","±5,582",84.70%,±1.2,"149,648","±2,521",88.50%,±1.5,"142,093","±3,457",74.70%,±1.7,"237,945","±4,515",80.20%,±1.4,"251,721","±4,587",90.60%,±1.1,"255,201","±5,059",70.80%,±1.3,"165,798","±3,861",89.70%,±1.2,"110,088","±2,941",91.50%,±1.6,"104,286","±1,919",94.40%,±1.3,"163,411","±2,894",91.70%,±1.4,"99,095","±3,059",86.70%,±1.8,"210,950","±4,737",83.10%,±1.3,"92,649","±2,709",84.60%,±1.9,"91,414","±3,236",83.90%,±1.7,"223,505","±2,539",93.00%,±1.0,"3,039,467","±11,288",90.20%,±0.3,"109,255","±3,387",86.90%,±1.8,"126,145","±4,336",78.30%,±1.6,"164,990","±4,095",77.00%,±1.5,"319,428","±4,797",86.20%,±1.1,"163,173","±2,981",87.10%,±1.3,"244,192","±3,559",92.50%,±1.0,"575,413","±6,623",85.90%,±0.9,"129,828","±3,843",84.40%,±1.8,"241,400","±4,203",82.20%,±1.2,"133,491","±3,094",91.00%,±1.6,"323,282","±4,713",91.10%,±0.8,"110,954","±2,722",89.00%,±2.0,"447,680","±6,310",87.00%,±0.7,"210,754","±2,612",91.40%,±1.1,"762,309","±6,535",84.40%,±0.6,"97,524","±2,960",92.60%,±1.6,"470,223","±4,982",89.40%,±0.8,"164,300","±2,574",92.20%,±1.3,"277,520","±5,743",91.70%,±1.1,"228,945","±3,762",88.50%,±1.0
Vacant housing units,"8,118","±1,747",7.20%,±1.5,"34,348","±3,270",17.40%,±1.5,"89,938","±5,280",15.00%,±0.8,"28,286","±3,011",12.30%,±1.3,"6,959","±1,693",6.50%,±1.5,"9,307","±1,853",7.80%,±1.5,"16,536","±2,335",9.80%,±1.3,"5,296","±1,494",6.50%,±1.7,"15,850","±2,074",9.10%,±1.1,"111,679","±4,939",7.90%,±0.3,"20,966","±2,123",12.10%,±1.2,"9,943","±2,018",10.20%,±1.9,"16,204","±2,462",8.40%,±1.3,"44,731","±3,432",8.70%,±0.6,"40,765","±3,739",10.80%,±1.0,"14,904","±2,090",4.80%,±0.6,"3,684",±940,4.90%,±1.2,"9,635","±1,928",9.60%,±1.8,"8,795","±1,718",6.90%,±1.3,"13,174","±2,266",7.30%,±1.2,"23,766","±3,030",8.30%,±1.1,"44,448","±3,730",15.00%,±1.3,"59,864","±4,691",16.30%,±1.3,"42,328","±3,780",22.50%,±1.6,"22,799","±2,579",19.10%,±2.0,"25,918","±2,656",16.30%,±1.6,"53,044","±3,534",23.60%,±1.4,"174,477","±7,085",14.70%,±0.6,"58,159","±4,663",15.30%,±1.2,"19,410","±2,542",11.50%,±1.5,"48,061","±3,285",25.30%,±1.7,"58,639","±4,250",19.80%,±1.4,"26,228","±3,171",9.40%,±1.1,"105,474","±5,226",29.20%,±1.3,"19,016","±2,378",10.30%,±1.2,"10,162","±1,918",8.50%,±1.6,"6,200","±1,444",5.60%,±1.3,"14,738","±2,489",8.30%,±1.4,"15,200","±2,262",13.30%,±1.8,"42,953","±3,551",16.90%,±1.3,"16,924","±2,285",15.40%,±1.9,"17,493","±2,047",16.10%,±1.7,"16,727","±2,369",7.00%,±1.0,"331,180","±10,338",9.80%,±0.3,"16,447","±2,377",13.10%,±1.8,"35,056","±2,836",21.70%,±1.6,"49,230","±3,481",23.00%,±1.5,"51,116","±4,074",13.80%,±1.1,"24,108","±2,545",12.90%,±1.3,"19,698","±2,755",7.50%,±1.0,"94,609","±5,884",14.10%,±0.9,"23,928","±2,861",15.60%,±1.8,"52,445","±3,676",17.80%,±1.2,"13,147","±2,532",9.00%,±1.6,"31,706","±2,958",8.90%,±0.8,"13,666","±2,460",11.00%,±2.0,"66,692","±3,901",13.00%,±0.7,"19,731","±2,663",8.60%,±1.1,"140,436","±6,060",15.60%,±0.6,"7,783","±1,750",7.40%,±1.6,"55,576","±4,469",10.60%,±0.8,"13,817","±2,373",7.80%,±1.3,"24,994","±3,323",8.30%,±1.1,"29,749","±2,762",11.50%,±1.0
Homeowner vacancy rate,1.4,±0.9,(X),(X),5.4,±1.7,(X),(X),4.6,±0.7,(X),(X),2.1,±0.9,(X),(X),1.2,±0.8,(X),(X),2.5,±1.1,(X),(X),2.8,±1.2,(X),(X),3.4,±1.8,(X),(X),2.7,±1.0,(X),(X),2.2,±0.4,(X),(X),3.2,±1.2,(X),(X),2.5,±1.5,(X),(X),2.6,±1.0,(X),(X),2.7,±0.7,(X),(X),1.3,±0.6,(X),(X),1.7,±0.7,(X),(X),1,±0.9,(X),(X),2.2,±1.3,(X),(X),2,±1.1,(X),(X),2.3,±1.0,(X),(X),3.8,±1.2,(X),(X),3.2,±0.9,(X),(X),4.5,±0.9,(X),(X),9.7,±2.1,(X),(X),3,±1.6,(X),(X),3.8,±1.4,(X),(X),7.7,±1.5,(X),(X),3.5,±0.6,(X),(X),2.5,±0.7,(X),(X),3.2,±1.2,(X),(X),5.7,±1.6,(X),(X),5.3,±1.2,(X),(X),2.4,±1.0,(X),(X),5.4,±1.2,(X),(X),3.7,±1.2,(X),(X),2.3,±1.3,(X),(X),1.9,±1.2,(X),(X),1.5,±0.8,(X),(X),4.9,±1.7,(X),(X),4.5,±1.0,(X),(X),9.9,±3.5,(X),(X),7,±3.0,(X),(X),1.4,±0.6,(X),(X),2.4,±0.3,(X),(X),2.8,±0.9,(X),(X),4.7,±1.8,(X),(X),4.5,±1.3,(X),(X),3.2,±0.9,(X),(X),3.4,±1.2,(X),(X),3.7,±1.1,(X),(X),3.4,±0.6,(X),(X),1.7,±1.0,(X),(X),3.6,±1.0,(X),(X),1.7,±1.0,(X),(X),1.7,±0.7,(X),(X),1.3,±1.0,(X),(X),2.7,±0.7,(X),(X),2.2,±0.8,(X),(X),3.3,±0.6,(X),(X),1.3,±0.9,(X),(X),2.2,±0.6,(X),(X),2,±0.8,(X),(X),2.6,±1.1,(X),(X),1,±0.5,(X),(X)
Rental vacancy rate,2.7,±1.4,(X),(X),13.8,±2.4,(X),(X),13.2,±1.3,(X),(X),10.8,±1.8,(X),(X),6.8,±2.1,(X),(X),6.1,±2.3,(X),(X),9.3,±2.1,(X),(X),5,±2.0,(X),(X),7.3,±1.4,(X),(X),5.5,±0.4,(X),(X),7.7,±1.2,(X),(X),10,±2.9,(X),(X),6.8,±1.5,(X),(X),5.1,±0.9,(X),(X),4.4,±1.0,(X),(X),3.4,±1.0,(X),(X),4.9,±1.8,(X),(X),7.1,±2.0,(X),(X),9.1,±2.6,(X),(X),6.7,±2.1,(X),(X),5.5,±1.2,(X),(X),9.5,±1.5,(X),(X),12.9,±1.9,(X),(X),10.7,±1.6,(X),(X),10.1,±1.9,(X),(X),10.5,±2.1,(X),(X),16.4,±2.2,(X),(X),8.5,±0.6,(X),(X),8.3,±1.4,(X),(X),8.9,±2.2,(X),(X),14.5,±2.0,(X),(X),7.5,±1.2,(X),(X),5.4,±1.1,(X),(X),13.7,±1.5,(X),(X),6.8,±1.6,(X),(X),5.1,±1.7,(X),(X),5.4,±1.9,(X),(X),7,±2.1,(X),(X),6.9,±2.9,(X),(X),12.2,±1.9,(X),(X),11.4,±2.3,(X),(X),10.2,±1.6,(X),(X),6.1,±1.7,(X),(X),4.3,±0.2,(X),(X),14.2,±3.0,(X),(X),13.2,±1.9,(X),(X),10.3,±1.6,(X),(X),10.3,±1.5,(X),(X),11.2,±2.1,(X),(X),3.5,±1.2,(X),(X),7.3,±0.9,(X),(X),5.3,±1.9,(X),(X),16.5,±1.9,(X),(X),13.6,±2.9,(X),(X),6.4,±1.1,(X),(X),7,±2.3,(X),(X),12.5,±1.0,(X),(X),8.4,±1.9,(X),(X),15.9,±0.9,(X),(X),10.6,±2.9,(X),(X),9.9,±1.2,(X),(X),3.4,±1.5,(X),(X),4,±0.9,(X),(X),3.4,±1.0,(X),(X)
UNITS IN STRUCTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total housing units,"113,111","±1,046","113,111",(X),"197,039","±5,268","197,039",(X),"601,370","±7,751","601,370",(X),"230,047","±4,064","230,047",(X),"107,363","±3,666","107,363",(X),"118,727","±3,473","118,727",(X),"169,426","±3,450","169,426",(X),"81,468","±2,980","81,468",(X),"174,236","±4,764","174,236",(X),"1,421,938","±10,327","1,421,938",(X),"172,774","±3,879","172,774",(X),"97,695","±4,133","97,695",(X),"192,372","±4,968","192,372",(X),"514,366","±6,961","514,366",(X),"376,777","±1,401","376,777",(X),"312,541","±4,703","312,541",(X),"74,972","±2,694","74,972",(X),"100,835","±2,732","100,835",(X),"128,354","±2,849","128,354",(X),"180,535","±2,463","180,535",(X),"285,859","±1,895","285,859",(X),"296,836",±63,"296,836",(X),"368,037","±4,746","368,037",(X),"188,150","±6,255","188,150",(X),"119,552","±4,003","119,552",(X),"158,988","±3,986","158,988",(X),"225,203","±5,823","225,203",(X),"1,189,053","±7,086","1,189,053",(X),"380,859","±2,715","380,859",(X),"169,058","±1,897","169,058",(X),"190,154","±1,837","190,154",(X),"296,584","±1,348","296,584",(X),"277,949","±3,571","277,949",(X),"360,675","±4,953","360,675",(X),"184,814","±3,848","184,814",(X),"120,250","±2,543","120,250",(X),"110,486","±1,458","110,486",(X),"178,149","±1,792","178,149",(X),"114,295","±3,755","114,295",(X),"253,903","±5,307","253,903",(X),"109,573","±2,820","109,573",(X),"108,907","±3,620","108,907",(X),"240,232","±2,039","240,232",(X),"3,370,647","±4,509","3,370,647",(X),"125,702","±2,979","125,702",(X),"161,201","±4,812","161,201",(X),"214,220","±4,327","214,220",(X),"370,544","±4,111","370,544",(X),"187,281","±2,560","187,281",(X),"263,890","±2,884","263,890",(X),"670,022","±4,073","670,022",(X),"153,756","±3,447","153,756",(X),"293,845","±3,302","293,845",(X),"146,638","±3,785","146,638",(X),"354,988","±5,209","354,988",(X),"124,620","±1,582","124,620",(X),"514,372","±6,971","514,372",(X),"230,485","±1,937","230,485",(X),"902,745","±7,429","902,745",(X),"105,307","±2,905","105,307",(X),"525,799","±4,754","525,799",(X),"178,117",±840,"178,117",(X),"302,514","±6,008","302,514",(X),"258,694","±3,433","258,694",(X)
"1-unit, detached","52,770","±2,532",46.70%,±2.3,"102,169","±3,825",51.90%,±1.8,"357,173","±6,276",59.40%,±0.8,"122,340","±3,909",53.20%,±1.4,"47,059","±2,566",43.80%,±2.0,"83,956","±3,412",70.70%,±2.0,"101,795","±3,103",60.10%,±1.7,"29,262","±1,892",35.90%,±2.4,"74,642","±2,754",42.80%,±1.5,"551,262","±8,409",38.80%,±0.6,"71,059","±3,025",41.10%,±1.6,"63,771","±2,957",65.30%,±2.2,"116,996","±4,058",60.80%,±1.8,"230,512","±5,454",44.80%,±0.9,"64,290","±3,682",17.10%,±1.0,"168,149","±4,380",53.80%,±1.2,"33,164","±1,885",44.20%,±2.1,"65,374","±3,003",64.80%,±2.3,"65,376","±2,767",50.90%,±1.8,"109,218","±3,055",60.50%,±1.6,"127,299","±3,722",44.50%,±1.3,"36,202","±2,384",12.20%,±0.8,"224,914","±5,563",61.10%,±1.3,"49,935","±3,807",26.50%,±1.7,"44,956","±2,943",37.60%,±2.3,"86,506","±3,623",54.40%,±2.0,"89,859","±4,389",39.90%,±1.6,"298,594","±7,946",25.10%,±0.6,"229,699","±4,688",60.30%,±1.2,"113,568","±3,220",67.20%,±1.8,"83,959","±3,238",44.20%,±1.6,"42,056","±2,893",14.20%,±1.0,"30,759","±2,136",11.10%,±0.7,"235,616","±4,938",65.30%,±1.1,"80,589","±2,923",43.60%,±1.5,"59,238","±2,633",49.30%,±2.0,"63,240","±2,368",57.20%,±2.0,"115,773","±2,923",65.00%,±1.5,"78,097","±3,857",68.30%,±2.5,"149,194","±4,731",58.80%,±1.5,"7,606","±1,471",6.90%,±1.4,"13,358","±1,772",12.30%,±1.7,"151,311","±3,955",63.00%,±1.6,"314,225","±7,115",9.30%,±0.2,"67,950","±3,283",54.10%,±2.2,"61,778","±3,363",38.30%,±1.9,"100,264","±4,227",46.80%,±1.6,"166,785","±4,800",45.00%,±1.3,"117,645","±3,380",62.80%,±1.6,"149,366","±3,793",56.60%,±1.3,"55,482","±3,827",8.30%,±0.6,"70,486","±2,693",45.80%,±1.7,"180,307","±4,229",61.40%,±1.4,"87,864","±3,716",59.90%,±2.1,"163,528","±4,540",46.10%,±1.0,"80,132","±2,920",64.30%,±2.1,"229,240","±5,433",44.60%,±0.9,"152,543","±3,866",66.20%,±1.6,"404,176","±6,138",44.80%,±0.6,"68,098","±2,500",64.70%,±2.2,"341,091","±5,064",64.90%,±0.9,"102,409","±2,741",57.50%,±1.6,"138,309","±4,660",45.70%,±1.3,"102,337","±3,602",39.60%,±1.4
