Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","240,818",housing_occupancy,"±2,108","240,818",(X)
"('Total housing units',)","Anaheim city, California","104,826",housing_occupancy,"±3,536","104,826",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,639",housing_occupancy,±430,"113,639",(X)
"('Total housing units',)","Arlington city, Texas","147,340",housing_occupancy,"±3,537","147,340",(X)
"('Total housing units',)","Atlanta city, Georgia","224,431",housing_occupancy,"±4,297","224,431",(X)
"('Total housing units',)","Aurora city, Colorado","131,839",housing_occupancy,"±2,637","131,839",(X)
"('Total housing units',)","Austin city, Texas","360,518",housing_occupancy,"±3,989","360,518",(X)
"('Total housing units',)","Bakersfield city, California","119,391",housing_occupancy,"±2,659","119,391",(X)
"('Total housing units',)","Baltimore city, Maryland","296,074",housing_occupancy,"±2,236","296,074",(X)
"('Total housing units',)","Boston city, Massachusetts","270,233",housing_occupancy,"±2,214","270,233",(X)
"('Total housing units',)","Charlotte city, North Carolina","326,818",housing_occupancy,"±3,419","326,818",(X)
"('Total housing units',)","Chicago city, Illinois","1,189,074",housing_occupancy,"±6,817","1,189,074",(X)
"('Total housing units',)","Cincinnati city, Ohio","159,676",housing_occupancy,"±2,991","159,676",(X)
"('Total housing units',)","Cleveland city, Ohio","210,658",housing_occupancy,"±3,794","210,658",(X)
"('Total housing units',)","Colorado Springs city, Colorado","180,801",housing_occupancy,"±2,602","180,801",(X)
"('Total housing units',)","Columbus city, Ohio","380,910",housing_occupancy,"±3,629","380,910",(X)
"('Total housing units',)","Corpus Christi city, Texas","126,054",housing_occupancy,"±1,671","126,054",(X)
"('Total housing units',)","Dallas city, Texas","525,228",housing_occupancy,"±5,100","525,228",(X)
"('Total housing units',)","Denver city, Colorado","288,191",housing_occupancy,"±1,357","288,191",(X)
"('Total housing units',)","Detroit city, Michigan","366,641",housing_occupancy,"±3,987","366,641",(X)
"('Total housing units',)","Durham city, North Carolina","107,490",housing_occupancy,"±1,541","107,490",(X)
"('Total housing units',)","El Paso city, Texas","235,023",housing_occupancy,"±2,114","235,023",(X)
"('Total housing units',)","Fort Worth city, Texas","296,061",housing_occupancy,"±4,693","296,061",(X)
"('Total housing units',)","Fresno city, California","175,406",housing_occupancy,"±3,314","175,406",(X)
"('Total housing units',)","Greensboro city, North Carolina","124,850",housing_occupancy,"±2,698","124,850",(X)
"('Total housing units',)","Henderson city, Nevada","112,496",housing_occupancy,"±3,407","112,496",(X)
"('Total housing units',)","Houston city, Texas","911,259",housing_occupancy,"±7,601","911,259",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","382,413",housing_occupancy,"±2,333","382,413",(X)
"('Total housing units',)","Irvine city, California","87,930",housing_occupancy,"±3,345","87,930",(X)
"('Total housing units',)","Jacksonville city, Florida","368,355",housing_occupancy,"±1,803","368,355",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,003",housing_occupancy,"±2,897","110,003",(X)
