Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","557,172",total_number_of_races_reported,±38
"('Total population',)","Austin city, Texas","912,798",total_number_of_races_reported,±79
"('Total population',)","Baltimore city, Maryland","622,793",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","656,051",total_number_of_races_reported,"±2,875"
"('Total population',)","Charlotte city, North Carolina","809,974",total_number_of_races_reported,±78
"('Total population',)","Chicago city, Illinois","2,722,407",total_number_of_races_reported,±79
"('Total population',)","Columbus city, Ohio","836,293",total_number_of_races_reported,"±2,656"
"('Total population',)","Dallas city, Texas","1,281,031",total_number_of_races_reported,±70
"('Total population',)","Denver city, Colorado","663,862",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","680,281",total_number_of_races_reported,±71
"('Total population',)","El Paso city, Texas","679,024",total_number_of_races_reported,±50
"('Total population',)","Fort Worth city, Texas","812,553",total_number_of_races_reported,"±2,543"
"('Total population',)","Fresno city, California","515,985",total_number_of_races_reported,±63
"('Total population',)","Houston city, Texas","2,240,796",total_number_of_races_reported,"±2,639"
"('Total population',)","Indianapolis city (balance), Indiana","851,353",total_number_of_races_reported,"±3,661"
"('Total population',)","Jacksonville city, Florida","853,376",total_number_of_races_reported,±33
"('Total population',)","Las Vegas city, Nevada","613,590",total_number_of_races_reported,±75
"('Total population',)","Los Angeles city, California","3,928,827",total_number_of_races_reported,±94
"('Total population',)","Memphis city, Tennessee","656,876",total_number_of_races_reported,±69
"('Total population',)","Milwaukee city, Wisconsin","599,653",total_number_of_races_reported,±49
"('Total population',)","New York city, New York","8,491,079",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","620,553",total_number_of_races_reported,±88
"('Total population',)","Philadelphia city, Pennsylvania","1,560,297",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,537,045",total_number_of_races_reported,±99
"('Total population',)","Portland city, Oregon","619,445",total_number_of_races_reported,"±1,277"
"('Total population',)","San Antonio city, Texas","1,436,723",total_number_of_races_reported,±184
"('Total population',)","San Diego city, California","1,381,083",total_number_of_races_reported,±79
"('Total population',)","San Francisco city, California","852,469",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","1,015,796",total_number_of_races_reported,±70
"('Total population',)","Seattle city, Washington","668,337",total_number_of_races_reported,±50
"('Total population',)","Tucson city, Arizona","527,948",total_number_of_races_reported,±105
"('Total population',)","Washington city, District of Columbia","658,893",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",94.90%,total_number_of_races_reported,±0.8
"('One race',)","Austin city, Texas",97.10%,total_number_of_races_reported,±0.3
"('One race',)","Baltimore city, Maryland",97.80%,total_number_of_races_reported,±0.4
"('One race',)","Boston city, Massachusetts",95.20%,total_number_of_races_reported,±0.8
"('One race',)","Charlotte city, North Carolina",97.10%,total_number_of_races_reported,±0.4
"('One race',)","Chicago city, Illinois",97.60%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",95.70%,total_number_of_races_reported,±0.6
"('One race',)","Dallas city, Texas",97.60%,total_number_of_races_reported,±0.4
"('One race',)","Denver city, Colorado",96.60%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",97.90%,total_number_of_races_reported,±0.4
"('One race',)","El Paso city, Texas",97.80%,total_number_of_races_reported,±0.5
"('One race',)","Fort Worth city, Texas",96.70%,total_number_of_races_reported,±0.6
"('One race',)","Fresno city, California",95.70%,total_number_of_races_reported,±0.8
"('One race',)","Houston city, Texas",98.10%,total_number_of_races_reported,±0.3
"('One race',)","Indianapolis city (balance), Indiana",97.30%,total_number_of_races_reported,±0.3
"('One race',)","Jacksonville city, Florida",97.10%,total_number_of_races_reported,±0.6
"('One race',)","Las Vegas city, Nevada",95.60%,total_number_of_races_reported,±0.5
"('One race',)","Los Angeles city, California",96.60%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.10%,total_number_of_races_reported,±0.6
"('One race',)","Milwaukee city, Wisconsin",96.90%,total_number_of_races_reported,±0.4
"('One race',)","New York city, New York",96.90%,total_number_of_races_reported,±0.2
"('One race',)","Oklahoma City city, Oklahoma",93.70%,total_number_of_races_reported,±0.7
"('One race',)","Philadelphia city, Pennsylvania",97.20%,total_number_of_races_reported,±0.4
"('One race',)","Phoenix city, Arizona",96.80%,total_number_of_races_reported,±0.4
"('One race',)","Portland city, Oregon",94.30%,total_number_of_races_reported,±0.6
"('One race',)","San Antonio city, Texas",97.20%,total_number_of_races_reported,±0.3
"('One race',)","San Diego city, California",95.00%,total_number_of_races_reported,±0.5
"('One race',)","San Francisco city, California",95.10%,total_number_of_races_reported,±0.5
"('One race',)","San Jose city, California",95.40%,total_number_of_races_reported,±0.4
"('One race',)","Seattle city, Washington",93.80%,total_number_of_races_reported,±0.7
"('One race',)","Tucson city, Arizona",95.40%,total_number_of_races_reported,±0.7
"('One race',)","Washington city, District of Columbia",97.50%,total_number_of_races_reported,±0.4
"('Two races',)","Albuquerque city, New Mexico",4.90%,total_number_of_races_reported,±0.8
"('Two races',)","Austin city, Texas",2.60%,total_number_of_races_reported,±0.3
"('Two races',)","Baltimore city, Maryland",2.00%,total_number_of_races_reported,±0.4
"('Two races',)","Boston city, Massachusetts",4.40%,total_number_of_races_reported,±0.7
"('Two races',)","Charlotte city, North Carolina",2.60%,total_number_of_races_reported,±0.4
"('Two races',)","Chicago city, Illinois",2.20%,total_number_of_races_reported,±0.2
"('Two races',)","Columbus city, Ohio",3.90%,total_number_of_races_reported,±0.5
"('Two races',)","Dallas city, Texas",2.20%,total_number_of_races_reported,±0.4
"('Two races',)","Denver city, Colorado",3.10%,total_number_of_races_reported,±0.5
"('Two races',)","Detroit city, Michigan",1.90%,total_number_of_races_reported,±0.4
"('Two races',)","El Paso city, Texas",2.10%,total_number_of_races_reported,±0.5
"('Two races',)","Fort Worth city, Texas",2.90%,total_number_of_races_reported,±0.5
"('Two races',)","Fresno city, California",3.70%,total_number_of_races_reported,±0.7
"('Two races',)","Houston city, Texas",1.80%,total_number_of_races_reported,±0.3
"('Two races',)","Indianapolis city (balance), Indiana",2.50%,total_number_of_races_reported,±0.3
"('Two races',)","Jacksonville city, Florida",2.60%,total_number_of_races_reported,±0.5
"('Two races',)","Las Vegas city, Nevada",4.00%,total_number_of_races_reported,±0.5
"('Two races',)","Los Angeles city, California",3.10%,total_number_of_races_reported,±0.2
"('Two races',)","Memphis city, Tennessee",1.50%,total_number_of_races_reported,±0.4
"('Two races',)","Milwaukee city, Wisconsin",2.80%,total_number_of_races_reported,±0.4
"('Two races',)","New York city, New York",2.90%,total_number_of_races_reported,±0.1
"('Two races',)","Oklahoma City city, Oklahoma",6.00%,total_number_of_races_reported,±0.7
"('Two races',)","Philadelphia city, Pennsylvania",2.50%,total_number_of_races_reported,±0.3
"('Two races',)","Phoenix city, Arizona",3.00%,total_number_of_races_reported,±0.4
"('Two races',)","Portland city, Oregon",5.00%,total_number_of_races_reported,±0.6
"('Two races',)","San Antonio city, Texas",2.70%,total_number_of_races_reported,±0.3
"('Two races',)","San Diego city, California",4.50%,total_number_of_races_reported,±0.4
"('Two races',)","San Francisco city, California",4.60%,total_number_of_races_reported,±0.4
"('Two races',)","San Jose city, California",4.30%,total_number_of_races_reported,±0.4
"('Two races',)","Seattle city, Washington",5.60%,total_number_of_races_reported,±0.7
"('Two races',)","Tucson city, Arizona",4.00%,total_number_of_races_reported,±0.6
"('Two races',)","Washington city, District of Columbia",2.30%,total_number_of_races_reported,±0.4
"('Three races',)","Albuquerque city, New Mexico",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Austin city, Texas",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Baltimore city, Maryland",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Boston city, Massachusetts",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Charlotte city, North Carolina",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Chicago city, Illinois",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Columbus city, Ohio",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Dallas city, Texas",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Denver city, Colorado",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Detroit city, Michigan",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","El Paso city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Fort Worth city, Texas",0.20%,total_number_of_races_reported,±0.2
"('Three races',)","Fresno city, California",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","Houston city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Indianapolis city (balance), Indiana",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Jacksonville city, Florida",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Las Vegas city, Nevada",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Los Angeles city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Memphis city, Tennessee",0.40%,total_number_of_races_reported,±0.4
"('Three races',)","Milwaukee city, Wisconsin",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","New York city, New York",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Oklahoma City city, Oklahoma",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Philadelphia city, Pennsylvania",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Phoenix city, Arizona",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Portland city, Oregon",0.60%,total_number_of_races_reported,±0.2
"('Three races',)","San Antonio city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","San Diego city, California",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","San Francisco city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","San Jose city, California",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","Seattle city, Washington",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","Tucson city, Arizona",0.60%,total_number_of_races_reported,±0.3
"('Three races',)","Washington city, District of Columbia",0.30%,total_number_of_races_reported,±0.1
"('Four or more races',)","Albuquerque city, New Mexico",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Austin city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Baltimore city, Maryland",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Boston city, Massachusetts",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Charlotte city, North Carolina",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Chicago city, Illinois",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Columbus city, Ohio",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Dallas city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Denver city, Colorado",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Detroit city, Michigan",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","El Paso city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fort Worth city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fresno city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Houston city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Indianapolis city (balance), Indiana",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Jacksonville city, Florida",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Las Vegas city, Nevada",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Los Angeles city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Memphis city, Tennessee",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Milwaukee city, Wisconsin",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","New York city, New York",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Oklahoma City city, Oklahoma",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Philadelphia city, Pennsylvania",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Phoenix city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Portland city, Oregon",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Antonio city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Diego city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Francisco city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Jose city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Seattle city, Washington",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Tucson city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Washington city, District of Columbia",0.00%,total_number_of_races_reported,±0.1
"('Total population',)","Albuquerque city, New Mexico","557,172",sex_and_age,±38
"('Total population',)","Austin city, Texas","912,798",sex_and_age,±79
"('Total population',)","Baltimore city, Maryland","622,793",sex_and_age,*****
"('Total population',)","Boston city, Massachusetts","656,051",sex_and_age,"±2,875"
"('Total population',)","Charlotte city, North Carolina","809,974",sex_and_age,±78
"('Total population',)","Chicago city, Illinois","2,722,407",sex_and_age,±79
"('Total population',)","Columbus city, Ohio","836,293",sex_and_age,"±2,656"
"('Total population',)","Dallas city, Texas","1,281,031",sex_and_age,±70
"('Total population',)","Denver city, Colorado","663,862",sex_and_age,*****
"('Total population',)","Detroit city, Michigan","680,281",sex_and_age,±71
"('Total population',)","El Paso city, Texas","679,024",sex_and_age,±50
"('Total population',)","Fort Worth city, Texas","812,553",sex_and_age,"±2,543"
"('Total population',)","Fresno city, California","515,985",sex_and_age,±63
"('Total population',)","Houston city, Texas","2,240,796",sex_and_age,"±2,639"
"('Total population',)","Indianapolis city (balance), Indiana","851,353",sex_and_age,"±3,661"
"('Total population',)","Jacksonville city, Florida","853,376",sex_and_age,±33
"('Total population',)","Las Vegas city, Nevada","613,590",sex_and_age,±75
"('Total population',)","Los Angeles city, California","3,928,827",sex_and_age,±94
"('Total population',)","Memphis city, Tennessee","656,876",sex_and_age,±69
"('Total population',)","Milwaukee city, Wisconsin","599,653",sex_and_age,±49
"('Total population',)","New York city, New York","8,491,079",sex_and_age,*****
"('Total population',)","Oklahoma City city, Oklahoma","620,553",sex_and_age,±88
"('Total population',)","Philadelphia city, Pennsylvania","1,560,297",sex_and_age,*****
"('Total population',)","Phoenix city, Arizona","1,537,045",sex_and_age,±99
"('Total population',)","Portland city, Oregon","619,445",sex_and_age,"±1,277"
"('Total population',)","San Antonio city, Texas","1,436,723",sex_and_age,±184
"('Total population',)","San Diego city, California","1,381,083",sex_and_age,±79
"('Total population',)","San Francisco city, California","852,469",sex_and_age,*****
"('Total population',)","San Jose city, California","1,015,796",sex_and_age,±70
"('Total population',)","Seattle city, Washington","668,337",sex_and_age,±50
"('Total population',)","Tucson city, Arizona","527,948",sex_and_age,±105
"('Total population',)","Washington city, District of Columbia","658,893",sex_and_age,*****
"('Male',)","Albuquerque city, New Mexico",48.50%,sex_and_age,±0.4
"('Male',)","Austin city, Texas",50.70%,sex_and_age,±0.4
"('Male',)","Baltimore city, Maryland",47.20%,sex_and_age,±0.1
"('Male',)","Boston city, Massachusetts",48.20%,sex_and_age,±0.3
"('Male',)","Charlotte city, North Carolina",47.90%,sex_and_age,±0.3
"('Male',)","Chicago city, Illinois",48.30%,sex_and_age,±0.3
"('Male',)","Columbus city, Ohio",48.20%,sex_and_age,±0.4
"('Male',)","Dallas city, Texas",49.80%,sex_and_age,±0.4
"('Male',)","Denver city, Colorado",50.00%,sex_and_age,±0.1
"('Male',)","Detroit city, Michigan",47.10%,sex_and_age,±0.5
"('Male',)","El Paso city, Texas",49.10%,sex_and_age,±0.5
"('Male',)","Fort Worth city, Texas",48.20%,sex_and_age,±0.6
"('Male',)","Fresno city, California",49.30%,sex_and_age,±0.7
"('Male',)","Houston city, Texas",50.10%,sex_and_age,±0.4
"('Male',)","Indianapolis city (balance), Indiana",48.50%,sex_and_age,±0.3
"('Male',)","Jacksonville city, Florida",48.20%,sex_and_age,±0.2
"('Male',)","Las Vegas city, Nevada",50.60%,sex_and_age,±0.7
"('Male',)","Los Angeles city, California",49.70%,sex_and_age,±0.3
"('Male',)","Memphis city, Tennessee",47.50%,sex_and_age,±0.4
"('Male',)","Milwaukee city, Wisconsin",48.40%,sex_and_age,±0.5
"('Male',)","New York city, New York",47.70%,sex_and_age,±0.1
"('Male',)","Oklahoma City city, Oklahoma",49.00%,sex_and_age,±0.5
"('Male',)","Philadelphia city, Pennsylvania",47.30%,sex_and_age,±0.1
"('Male',)","Phoenix city, Arizona",49.70%,sex_and_age,±0.4
"('Male',)","Portland city, Oregon",49.20%,sex_and_age,±0.4
"('Male',)","San Antonio city, Texas",49.30%,sex_and_age,±0.3
"('Male',)","San Diego city, California",50.00%,sex_and_age,±0.4
"('Male',)","San Francisco city, California",50.90%,sex_and_age,±0.1
"('Male',)","San Jose city, California",50.00%,sex_and_age,±0.4
"('Male',)","Seattle city, Washington",50.70%,sex_and_age,±0.8
"('Male',)","Tucson city, Arizona",49.90%,sex_and_age,±0.6
"('Male',)","Washington city, District of Columbia",47.40%,sex_and_age,±0.1
"('Female',)","Albuquerque city, New Mexico",51.50%,sex_and_age,±0.4
"('Female',)","Austin city, Texas",49.30%,sex_and_age,±0.4
"('Female',)","Baltimore city, Maryland",52.80%,sex_and_age,±0.1
"('Female',)","Boston city, Massachusetts",51.80%,sex_and_age,±0.3
"('Female',)","Charlotte city, North Carolina",52.10%,sex_and_age,±0.3
"('Female',)","Chicago city, Illinois",51.70%,sex_and_age,±0.3
"('Female',)","Columbus city, Ohio",51.80%,sex_and_age,±0.4
"('Female',)","Dallas city, Texas",50.20%,sex_and_age,±0.4
"('Female',)","Denver city, Colorado",50.00%,sex_and_age,±0.1
"('Female',)","Detroit city, Michigan",52.90%,sex_and_age,±0.5
"('Female',)","El Paso city, Texas",50.90%,sex_and_age,±0.5
"('Female',)","Fort Worth city, Texas",51.80%,sex_and_age,±0.6
"('Female',)","Fresno city, California",50.70%,sex_and_age,±0.7
"('Female',)","Houston city, Texas",49.90%,sex_and_age,±0.4
"('Female',)","Indianapolis city (balance), Indiana",51.50%,sex_and_age,±0.3
"('Female',)","Jacksonville city, Florida",51.80%,sex_and_age,±0.2
"('Female',)","Las Vegas city, Nevada",49.40%,sex_and_age,±0.7
"('Female',)","Los Angeles city, California",50.30%,sex_and_age,±0.3
"('Female',)","Memphis city, Tennessee",52.50%,sex_and_age,±0.4
"('Female',)","Milwaukee city, Wisconsin",51.60%,sex_and_age,±0.5
"('Female',)","New York city, New York",52.30%,sex_and_age,±0.1
"('Female',)","Oklahoma City city, Oklahoma",51.00%,sex_and_age,±0.5
"('Female',)","Philadelphia city, Pennsylvania",52.70%,sex_and_age,±0.1
"('Female',)","Phoenix city, Arizona",50.30%,sex_and_age,±0.4
"('Female',)","Portland city, Oregon",50.80%,sex_and_age,±0.4
"('Female',)","San Antonio city, Texas",50.70%,sex_and_age,±0.3
"('Female',)","San Diego city, California",50.00%,sex_and_age,±0.4
"('Female',)","San Francisco city, California",49.10%,sex_and_age,±0.1
"('Female',)","San Jose city, California",50.00%,sex_and_age,±0.4
"('Female',)","Seattle city, Washington",49.30%,sex_and_age,±0.8
"('Female',)","Tucson city, Arizona",50.10%,sex_and_age,±0.6
"('Female',)","Washington city, District of Columbia",52.60%,sex_and_age,±0.1
"('Under 5 years',)","Albuquerque city, New Mexico",6.70%,sex_and_age,±0.2
"('Under 5 years',)","Austin city, Texas",7.00%,sex_and_age,±0.3
"('Under 5 years',)","Baltimore city, Maryland",6.70%,sex_and_age,±0.1
"('Under 5 years',)","Boston city, Massachusetts",5.30%,sex_and_age,±0.2
"('Under 5 years',)","Charlotte city, North Carolina",7.10%,sex_and_age,±0.2
"('Under 5 years',)","Chicago city, Illinois",6.70%,sex_and_age,±0.2
"('Under 5 years',)","Columbus city, Ohio",7.30%,sex_and_age,±0.3
"('Under 5 years',)","Dallas city, Texas",8.20%,sex_and_age,±0.4
"('Under 5 years',)","Denver city, Colorado",6.80%,sex_and_age,±0.1
"('Under 5 years',)","Detroit city, Michigan",6.90%,sex_and_age,±0.3
"('Under 5 years',)","El Paso city, Texas",7.80%,sex_and_age,±0.3
"('Under 5 years',)","Fort Worth city, Texas",8.00%,sex_and_age,±0.4
"('Under 5 years',)","Fresno city, California",8.50%,sex_and_age,±0.5
"('Under 5 years',)","Houston city, Texas",7.70%,sex_and_age,±0.3
"('Under 5 years',)","Indianapolis city (balance), Indiana",7.50%,sex_and_age,±0.2
"('Under 5 years',)","Jacksonville city, Florida",6.90%,sex_and_age,±0.1
"('Under 5 years',)","Las Vegas city, Nevada",6.60%,sex_and_age,±0.4
"('Under 5 years',)","Los Angeles city, California",6.40%,sex_and_age,±0.2
"('Under 5 years',)","Memphis city, Tennessee",7.80%,sex_and_age,±0.3
