City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Albuquerque,New Mexico,Total housing units,240232,2039,240232,
Anaheim,California,Total housing units,107363,3666,107363,
Anchorage,Alaska,Total housing units,113111,1046,113111,
Arlington,Texas,Total housing units,146638,3785,146638,
Atlanta,Georgia,Total housing units,225203,5823,225203,
Aurora,Colorado,Total housing units,128354,2849,128354,
Austin,Texas,Total housing units,354988,5209,354988,
Bakersfield,California,Total housing units,118727,3473,118727,
Baltimore,Maryland,Total housing units,296584,1348,296584,
Boston,Massachusetts,Total housing units,277949,3571,277949,
Chicago,Illinois,Total housing units,1189053,7086,1189053,
Cincinnati,Ohio,Total housing units,161201,4812,161201,
Cleveland,Ohio,Total housing units,214220,4327,214220,
Colorado Springs,Colorado,Total housing units,180535,2463,180535,
Columbus,Ohio,Total housing units,370544,4111,370544,
Corpus Christi,Texas,Total housing units,124620,1582,124620,
Dallas,Texas,Total housing units,514372,6971,514372,
Denver,Colorado,Total housing units,285859,1895,285859,
Detroit,Michigan,Total housing units,360675,4953,360675,
El Paso,Texas,Total housing units,230485,1937,230485,
Fresno,California,Total housing units,169426,3450,169426,
Greensboro,North Carolina,Total housing units,125702,2979,125702,
Henderson,Nevada,Total housing units,114295,3755,114295,
Houston,Texas,Total housing units,902745,7429,902745,
Indianapolis,Indiana,Total housing units,380859,2715,380859,
Irvine,California,Total housing units,81468,2980,81468,
Jacksonville,Florida,Total housing units,368037,4746,368037,
Jersey City,New Jersey,Total housing units,109573,2820,109573,
Las Vegas,Nevada,Total housing units,253903,5307,253903,
Lincoln,Nebraska,Total housing units,110486,1458,110486,
Long Beach,California,Total housing units,174236,4764,174236,
Los Angeles,California,Total housing units,1421938,10327,1421938,
Memphis,Tennessee,Total housing units,293845,3302,293845,
Mesa,Arizona,Total housing units,197039,5268,197039,
Miami,Florida,Total housing units,188150,6255,188150,
Milwaukee,Wisconsin,Total housing units,258694,3433,258694,
Minneapolis,Minnesota,Total housing units,184814,3848,184814,
New Orleans,Louisiana,Total housing units,190154,1837,190154,
New York,New York,Total housing units,3370647,4509,3370647,
Newark,New Jersey,Total housing units,108907,3620,108907,
Oakland,California,Total housing units,172774,3879,172774,
Omaha,Nebraska,Total housing units,178149,1792,178149,
Orlando,Florida,Total housing units,119552,4003,119552,
Philadelphia,Pennsylvania,Total housing units,670022,4073,670022,
Phoenix,Arizona,Total housing units,601370,7751,601370,
Pittsburgh,Pennsylvania,Total housing units,153756,3447,153756,
Plano,Texas,Total housing units,105307,2905,105307,
Portland,Oregon,Total housing units,263890,2884,263890,
Riverside,California,Total housing units,97695,4133,97695,
Sacramento,California,Total housing units,192372,4968,192372,
San Antonio,Texas,Total housing units,525799,4754,525799,
San Diego,California,Total housing units,514366,6961,514366,
San Francisco,California,Total housing units,376777,1401,376777,
San Jose,California,Total housing units,312541,4703,312541,
Santa Ana,California,Total housing units,74972,2694,74972,
Seattle,Washington,Total housing units,302514,6008,302514,
St. Paul,Minnesota,Total housing units,120250,2543,120250,
Stockton,California,Total housing units,100835,2732,100835,
Tampa,Florida,Total housing units,158988,3986,158988,
Tucson,Arizona,Total housing units,230047,4064,230047,
Tulsa,Oklahoma,Total housing units,187281,2560,187281,
Virginia Beach,Virginia,Total housing units,178117,840,178117,
Washington,District of Columbia,Total housing units,296836,63,296836,
Wichita,Kansas,Total housing units,169058,1897,169058,
Albuquerque,New Mexico,Occupied housing units,223505,2539,93,1
Anaheim,California,Occupied housing units,100404,3112,93.5,1.5
Anchorage,Alaska,Occupied housing units,104993,2002,92.8,1.5
Arlington,Texas,Occupied housing units,133491,3094,91,1.6
Atlanta,Georgia,Occupied housing units,172159,5268,76.4,1.4
Aurora,Colorado,Occupied housing units,119559,3177,93.1,1.3
Austin,Texas,Occupied housing units,323282,4713,91.1,0.8
Bakersfield,California,Occupied housing units,109420,3039,92.2,1.5
Baltimore,Maryland,Occupied housing units,237945,4515,80.2,1.4
Boston,Massachusetts,Occupied housing units,251721,4587,90.6,1.1
Chicago,Illinois,Occupied housing units,1014576,8579,85.3,0.6
Cincinnati,Ohio,Occupied housing units,126145,4336,78.3,1.6
Cleveland,Ohio,Occupied housing units,164990,4095,77,1.5
Colorado Springs,Colorado,Occupied housing units,167361,3084,92.7,1.2
Columbus,Ohio,Occupied housing units,319428,4797,86.2,1.1
Corpus Christi,Texas,Occupied housing units,110954,2722,89,2
Dallas,Texas,Occupied housing units,447680,6310,87,0.7
Denver,Colorado,Occupied housing units,262093,3662,91.7,1.1
Detroit,Michigan,Occupied housing units,255201,5059,70.8,1.3
El Paso,Texas,Occupied housing units,210754,2612,91.4,1.1
Fresno,California,Occupied housing units,152890,3242,90.2,1.3
Greensboro,North Carolina,Occupied housing units,109255,3387,86.9,1.8
Henderson,Nevada,Occupied housing units,99095,3059,86.7,1.8
Houston,Texas,Occupied housing units,762309,6535,84.4,0.6
Indianapolis,Indiana,Occupied housing units,322700,5582,84.7,1.2
Irvine,California,Occupied housing units,76172,2460,93.5,1.7
Jacksonville,Florida,Occupied housing units,308173,6302,83.7,1.3
Jersey City,New Jersey,Occupied housing units,92649,2709,84.6,1.9
Las Vegas,Nevada,Occupied housing units,210950,4737,83.1,1.3
Lincoln,Nebraska,Occupied housing units,104286,1919,94.4,1.3
Long Beach,California,Occupied housing units,158386,4102,90.9,1.1
Los Angeles,California,Occupied housing units,1310259,9520,92.1,0.3
Memphis,Tennessee,Occupied housing units,241400,4203,82.2,1.2
Mesa,Arizona,Occupied housing units,162691,4466,82.6,1.5
Miami,Florida,Occupied housing units,145822,4810,77.5,1.6
Milwaukee,Wisconsin,Occupied housing units,228945,3762,88.5,1
Minneapolis,Minnesota,Occupied housing units,165798,3861,89.7,1.2
