Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","240,232","±2,039",housing_occupancy,"240,232",(X)
"('Total housing units',)","Anaheim city, California","107,363","±3,666",housing_occupancy,"107,363",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,111","±1,046",housing_occupancy,"113,111",(X)
"('Total housing units',)","Arlington city, Texas","146,638","±3,785",housing_occupancy,"146,638",(X)
"('Total housing units',)","Atlanta city, Georgia","225,203","±5,823",housing_occupancy,"225,203",(X)
"('Total housing units',)","Aurora city, Colorado","128,354","±2,849",housing_occupancy,"128,354",(X)
"('Total housing units',)","Austin city, Texas","354,988","±5,209",housing_occupancy,"354,988",(X)
"('Total housing units',)","Bakersfield city, California","118,727","±3,473",housing_occupancy,"118,727",(X)
"('Total housing units',)","Baltimore city, Maryland","296,584","±1,348",housing_occupancy,"296,584",(X)
"('Total housing units',)","Boston city, Massachusetts","277,949","±3,571",housing_occupancy,"277,949",(X)
"('Total housing units',)","Chicago city, Illinois","1,189,053","±7,086",housing_occupancy,"1,189,053",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,201","±4,812",housing_occupancy,"161,201",(X)
"('Total housing units',)","Cleveland city, Ohio","214,220","±4,327",housing_occupancy,"214,220",(X)
"('Total housing units',)","Colorado Springs city, Colorado","180,535","±2,463",housing_occupancy,"180,535",(X)
"('Total housing units',)","Columbus city, Ohio","370,544","±4,111",housing_occupancy,"370,544",(X)
"('Total housing units',)","Corpus Christi city, Texas","124,620","±1,582",housing_occupancy,"124,620",(X)
"('Total housing units',)","Dallas city, Texas","514,372","±6,971",housing_occupancy,"514,372",(X)
"('Total housing units',)","Denver city, Colorado","285,859","±1,895",housing_occupancy,"285,859",(X)
"('Total housing units',)","Detroit city, Michigan","360,675","±4,953",housing_occupancy,"360,675",(X)
"('Total housing units',)","El Paso city, Texas","230,485","±1,937",housing_occupancy,"230,485",(X)
"('Total housing units',)","Fresno city, California","169,426","±3,450",housing_occupancy,"169,426",(X)
"('Total housing units',)","Greensboro city, North Carolina","125,702","±2,979",housing_occupancy,"125,702",(X)
"('Total housing units',)","Henderson city, Nevada","114,295","±3,755",housing_occupancy,"114,295",(X)
"('Total housing units',)","Houston city, Texas","902,745","±7,429",housing_occupancy,"902,745",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","380,859","±2,715",housing_occupancy,"380,859",(X)
"('Total housing units',)","Irvine city, California","81,468","±2,980",housing_occupancy,"81,468",(X)
"('Total housing units',)","Jacksonville city, Florida","368,037","±4,746",housing_occupancy,"368,037",(X)
"('Total housing units',)","Jersey City city, New Jersey","109,573","±2,820",housing_occupancy,"109,573",(X)
"('Total housing units',)","Las Vegas city, Nevada","253,903","±5,307",housing_occupancy,"253,903",(X)
"('Total housing units',)","Lincoln city, Nebraska","110,486","±1,458",housing_occupancy,"110,486",(X)
"('Total housing units',)","Long Beach city, California","174,236","±4,764",housing_occupancy,"174,236",(X)
"('Total housing units',)","Los Angeles city, California","1,421,938","±10,327",housing_occupancy,"1,421,938",(X)
"('Total housing units',)","Memphis city, Tennessee","293,845","±3,302",housing_occupancy,"293,845",(X)
"('Total housing units',)","Mesa city, Arizona","197,039","±5,268",housing_occupancy,"197,039",(X)
"('Total housing units',)","Miami city, Florida","188,150","±6,255",housing_occupancy,"188,150",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","258,694","±3,433",housing_occupancy,"258,694",(X)
"('Total housing units',)","Minneapolis city, Minnesota","184,814","±3,848",housing_occupancy,"184,814",(X)
"('Total housing units',)","New Orleans city, Louisiana","190,154","±1,837",housing_occupancy,"190,154",(X)
"('Total housing units',)","New York city, New York","3,370,647","±4,509",housing_occupancy,"3,370,647",(X)
"('Total housing units',)","Newark city, New Jersey","108,907","±3,620",housing_occupancy,"108,907",(X)
"('Total housing units',)","Oakland city, California","172,774","±3,879",housing_occupancy,"172,774",(X)
"('Total housing units',)","Omaha city, Nebraska","178,149","±1,792",housing_occupancy,"178,149",(X)
"('Total housing units',)","Orlando city, Florida","119,552","±4,003",housing_occupancy,"119,552",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","670,022","±4,073",housing_occupancy,"670,022",(X)
"('Total housing units',)","Phoenix city, Arizona","601,370","±7,751",housing_occupancy,"601,370",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","153,756","±3,447",housing_occupancy,"153,756",(X)
"('Total housing units',)","Plano city, Texas","105,307","±2,905",housing_occupancy,"105,307",(X)
"('Total housing units',)","Portland city, Oregon","263,890","±2,884",housing_occupancy,"263,890",(X)
"('Total housing units',)","Riverside city, California","97,695","±4,133",housing_occupancy,"97,695",(X)
"('Total housing units',)","Sacramento city, California","192,372","±4,968",housing_occupancy,"192,372",(X)
"('Total housing units',)","San Antonio city, Texas","525,799","±4,754",housing_occupancy,"525,799",(X)
"('Total housing units',)","San Diego city, California","514,366","±6,961",housing_occupancy,"514,366",(X)
"('Total housing units',)","San Francisco city, California","376,777","±1,401",housing_occupancy,"376,777",(X)
"('Total housing units',)","San Jose city, California","312,541","±4,703",housing_occupancy,"312,541",(X)
"('Total housing units',)","Santa Ana city, California","74,972","±2,694",housing_occupancy,"74,972",(X)
"('Total housing units',)","Seattle city, Washington","302,514","±6,008",housing_occupancy,"302,514",(X)
"('Total housing units',)","St. Paul city, Minnesota","120,250","±2,543",housing_occupancy,"120,250",(X)
"('Total housing units',)","Stockton city, California","100,835","±2,732",housing_occupancy,"100,835",(X)
"('Total housing units',)","Tampa city, Florida","158,988","±3,986",housing_occupancy,"158,988",(X)
"('Total housing units',)","Tucson city, Arizona","230,047","±4,064",housing_occupancy,"230,047",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,281","±2,560",housing_occupancy,"187,281",(X)
"('Total housing units',)","Virginia Beach city, Virginia","178,117",±840,housing_occupancy,"178,117",(X)
"('Total housing units',)","Washington city, District of Columbia","296,836",±63,housing_occupancy,"296,836",(X)
"('Total housing units',)","Wichita city, Kansas","169,058","±1,897",housing_occupancy,"169,058",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","223,505","±2,539",housing_occupancy,93.00%,±1.0
"('Occupied housing units',)","Anaheim city, California","100,404","±3,112",housing_occupancy,93.50%,±1.5
"('Occupied housing units',)","Anchorage municipality, Alaska","104,993","±2,002",housing_occupancy,92.80%,±1.5
"('Occupied housing units',)","Arlington city, Texas","133,491","±3,094",housing_occupancy,91.00%,±1.6
"('Occupied housing units',)","Atlanta city, Georgia","172,159","±5,268",housing_occupancy,76.40%,±1.4
"('Occupied housing units',)","Aurora city, Colorado","119,559","±3,177",housing_occupancy,93.10%,±1.3
"('Occupied housing units',)","Austin city, Texas","323,282","±4,713",housing_occupancy,91.10%,±0.8
