Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","243,210","±2,135","243,210",(X)
"('Total housing units',)","Anaheim city, California","104,533","±3,363","104,533",(X)
"('Total housing units',)","Anchorage municipality, Alaska","114,911",±380,"114,911",(X)
"('Total housing units',)","Arlington city, Texas","144,186","±4,030","144,186",(X)
"('Total housing units',)","Atlanta city, Georgia","239,503","±3,889","239,503",(X)
"('Total housing units',)","Aurora city, Colorado","132,250","±2,433","132,250",(X)
"('Total housing units',)","Austin city, Texas","397,637","±4,491","397,637",(X)
"('Total housing units',)","Bakersfield city, California","123,614","±3,835","123,614",(X)
"('Total housing units',)","Baltimore city, Maryland","297,112","±1,119","297,112",(X)
"('Total housing units',)","Boston city, Massachusetts","286,120","±2,428","286,120",(X)
"('Total housing units',)","Charlotte city, North Carolina","349,905","±2,395","349,905",(X)
"('Total housing units',)","Chicago city, Illinois","1,202,265","±8,793","1,202,265",(X)
"('Total housing units',)","Cincinnati city, Ohio","164,732","±3,394","164,732",(X)
"('Total housing units',)","Cleveland city, Ohio","212,100","±3,915","212,100",(X)
"('Total housing units',)","Colorado Springs city, Colorado","193,055","±2,332","193,055",(X)
"('Total housing units',)","Columbus city, Ohio","386,584","±3,972","386,584",(X)
"('Total housing units',)","Corpus Christi city, Texas","130,945","±1,771","130,945",(X)
"('Total housing units',)","Dallas city, Texas","550,251","±6,001","550,251",(X)
"('Total housing units',)","Denver city, Colorado","304,015","±1,245","304,015",(X)
"('Total housing units',)","Detroit city, Michigan","361,370","±4,254","361,370",(X)
"('Total housing units',)","Durham city, North Carolina","112,198","±1,679","112,198",(X)
"('Total housing units',)","El Paso city, Texas","246,920","±2,109","246,920",(X)
"('Total housing units',)","Fort Worth city, Texas","315,201","±4,782","315,201",(X)
"('Total housing units',)","Fresno city, California","173,504","±2,940","173,504",(X)
"('Total housing units',)","Greensboro city, North Carolina","132,438","±2,411","132,438",(X)
"('Total housing units',)","Henderson city, Nevada","126,016","±3,806","126,016",(X)
