Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","244,038",housing_occupancy,"±2,404","244,038",(X)
"('Total housing units',)","Anaheim city, California","103,367",housing_occupancy,"±3,178","103,367",(X)
"('Total housing units',)","Anchorage municipality, Alaska","115,539",housing_occupancy,±387,"115,539",(X)
"('Total housing units',)","Arlington city, Texas","148,637",housing_occupancy,"±3,812","148,637",(X)
"('Total housing units',)","Atlanta city, Georgia","236,817",housing_occupancy,"±5,744","236,817",(X)
"('Total housing units',)","Aurora city, Colorado","133,083",housing_occupancy,"±2,642","133,083",(X)
"('Total housing units',)","Austin city, Texas","405,387",housing_occupancy,"±4,745","405,387",(X)
"('Total housing units',)","Bakersfield city, California","121,920",housing_occupancy,"±2,880","121,920",(X)
"('Total housing units',)","Baltimore city, Maryland","297,628",housing_occupancy,±998,"297,628",(X)
"('Total housing units',)","Boston city, Massachusetts","288,716",housing_occupancy,"±2,679","288,716",(X)
"('Total housing units',)","Charlotte city, North Carolina","349,447",housing_occupancy,"±2,873","349,447",(X)
"('Total housing units',)","Chicago city, Illinois","1,201,732",housing_occupancy,"±8,372","1,201,732",(X)
"('Total housing units',)","Cincinnati city, Ohio","162,392",housing_occupancy,"±3,342","162,392",(X)
"('Total housing units',)","Cleveland city, Ohio","212,568",housing_occupancy,"±3,880","212,568",(X)
"('Total housing units',)","Colorado Springs city, Colorado","195,465",housing_occupancy,"±2,434","195,465",(X)
"('Total housing units',)","Columbus city, Ohio","388,841",housing_occupancy,"±4,399","388,841",(X)
"('Total housing units',)","Corpus Christi city, Texas","132,799",housing_occupancy,"±1,632","132,799",(X)
"('Total housing units',)","Dallas city, Texas","568,951",housing_occupancy,"±5,453","568,951",(X)
"('Total housing units',)","Denver city, Colorado","311,480",housing_occupancy,"±1,000","311,480",(X)
"('Total housing units',)","Detroit city, Michigan","362,086",housing_occupancy,"±4,505","362,086",(X)
"('Total housing units',)","Durham city, North Carolina","114,984",housing_occupancy,"±1,598","114,984",(X)
"('Total housing units',)","El Paso city, Texas","248,159",housing_occupancy,"±2,102","248,159",(X)
"('Total housing units',)","Fort Worth city, Texas","314,469",housing_occupancy,"±4,555","314,469",(X)
"('Total housing units',)","Fresno city, California","176,898",housing_occupancy,"±3,239","176,898",(X)
"('Total housing units',)","Greensboro city, North Carolina","129,716",housing_occupancy,"±2,444","129,716",(X)
"('Total housing units',)","Henderson city, Nevada","126,349",housing_occupancy,"±3,997","126,349",(X)
"('Total housing units',)","Houston city, Texas","964,435",housing_occupancy,"±7,769","964,435",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","381,738",housing_occupancy,"±2,122","381,738",(X)
"('Total housing units',)","Irvine city, California","101,592",housing_occupancy,"±3,904","101,592",(X)
"('Total housing units',)","Jacksonville city, Florida","376,870",housing_occupancy,"±2,328","376,870",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,584",housing_occupancy,"±2,703","110,584",(X)
"('Total housing units',)","Kansas City city, Missouri","228,329",housing_occupancy,"±4,147","228,329",(X)
"('Total housing units',)","Las Vegas city, Nevada","251,196",housing_occupancy,"±5,079","251,196",(X)
"('Total housing units',)","Lincoln city, Nebraska","118,654",housing_occupancy,"±1,020","118,654",(X)
"('Total housing units',)","Long Beach city, California","168,588",housing_occupancy,"±4,725","168,588",(X)
"('Total housing units',)","Los Angeles city, California","1,478,666",housing_occupancy,"±8,379","1,478,666",(X)
"('Total housing units',)","Memphis city, Tennessee","303,888",housing_occupancy,"±3,228","303,888",(X)
"('Total housing units',)","Mesa city, Arizona","205,704",housing_occupancy,"±5,290","205,704",(X)
"('Total housing units',)","Miami city, Florida","199,659",housing_occupancy,"±5,398","199,659",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","256,239",housing_occupancy,"±3,638","256,239",(X)
"('Total housing units',)","Minneapolis city, Minnesota","182,891",housing_occupancy,"±3,521","182,891",(X)
"('Total housing units',)","New Orleans city, Louisiana","193,120",housing_occupancy,"±1,054","193,120",(X)
"('Total housing units',)","New York city, New York","3,463,870",housing_occupancy,"±2,605","3,463,870",(X)
"('Total housing units',)","Newark city, New Jersey","115,142",housing_occupancy,"±2,904","115,142",(X)
"('Total housing units',)","Oakland city, California","167,027",housing_occupancy,"±3,789","167,027",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","272,749",housing_occupancy,"±3,071","272,749",(X)
"('Total housing units',)","Omaha city, Nebraska","190,653",housing_occupancy,"±1,668","190,653",(X)
"('Total housing units',)","Orlando city, Florida","132,446",housing_occupancy,"±3,801","132,446",(X)
