Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","556,489",total_number_of_races_reported,±45
"('Total population',)","Austin city, Texas","885,415",total_number_of_races_reported,±84
"('Total population',)","Baltimore city, Maryland","622,104",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","644,710",total_number_of_races_reported,"±3,772"
"('Total population',)","Charlotte city, North Carolina","792,849",total_number_of_races_reported,±67
"('Total population',)","Chicago city, Illinois","2,718,789",total_number_of_races_reported,±52
"('Total population',)","Columbus city, Ohio","822,762",total_number_of_races_reported,"±3,388"
"('Total population',)","Dallas city, Texas","1,257,676",total_number_of_races_reported,±80
"('Total population',)","Denver city, Colorado","649,495",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","688,740",total_number_of_races_reported,±70
"('Total population',)","El Paso city, Texas","674,438",total_number_of_races_reported,±38
"('Total population',)","Fort Worth city, Texas","794,189",total_number_of_races_reported,"±2,712"
"('Total population',)","Fresno city, California","509,965",total_number_of_races_reported,±156
"('Total population',)","Houston city, Texas","2,197,374",total_number_of_races_reported,"±2,865"
"('Total population',)","Indianapolis city (balance), Indiana","838,425",total_number_of_races_reported,"±5,111"
"('Total population',)","Jacksonville city, Florida","842,588",total_number_of_races_reported,±25
"('Total population',)","Las Vegas city, Nevada","603,525",total_number_of_races_reported,±130
"('Total population',)","Los Angeles city, California","3,884,340",total_number_of_races_reported,±142
"('Total population',)","Memphis city, Tennessee","653,450",total_number_of_races_reported,±44
"('Total population',)","Milwaukee city, Wisconsin","599,168",total_number_of_races_reported,±36
"('Total population',)","New York city, New York","8,405,837",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","610,617",total_number_of_races_reported,±139
"('Total population',)","Philadelphia city, Pennsylvania","1,553,165",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,513,350",total_number_of_races_reported,±101
"('Total population',)","Portland city, Oregon","611,134",total_number_of_races_reported,"±1,681"
"('Total population',)","San Antonio city, Texas","1,409,000",total_number_of_races_reported,±87
"('Total population',)","San Diego city, California","1,355,885",total_number_of_races_reported,±67
"('Total population',)","San Francisco city, California","837,442",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","998,514",total_number_of_races_reported,±108
"('Total population',)","Seattle city, Washington","652,429",total_number_of_races_reported,±97
"('Total population',)","Tucson city, Arizona","526,141",total_number_of_races_reported,±91
"('Total population',)","Washington city, District of Columbia","646,449",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",96.30%,total_number_of_races_reported,±0.6
"('One race',)","Austin city, Texas",96.50%,total_number_of_races_reported,±0.4
"('One race',)","Baltimore city, Maryland",97.90%,total_number_of_races_reported,±0.4
"('One race',)","Boston city, Massachusetts",95.50%,total_number_of_races_reported,±0.6
"('One race',)","Charlotte city, North Carolina",97.50%,total_number_of_races_reported,±0.4
"('One race',)","Chicago city, Illinois",97.70%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",96.10%,total_number_of_races_reported,±0.5
"('One race',)","Dallas city, Texas",97.60%,total_number_of_races_reported,±0.4
"('One race',)","Denver city, Colorado",96.50%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",98.30%,total_number_of_races_reported,±0.3
"('One race',)","El Paso city, Texas",98.00%,total_number_of_races_reported,±0.3
"('One race',)","Fort Worth city, Texas",96.30%,total_number_of_races_reported,±0.8
"('One race',)","Fresno city, California",95.40%,total_number_of_races_reported,±1.1
"('One race',)","Houston city, Texas",97.80%,total_number_of_races_reported,±0.2
"('One race',)","Indianapolis city (balance), Indiana",97.50%,total_number_of_races_reported,±0.4
"('One race',)","Jacksonville city, Florida",96.70%,total_number_of_races_reported,±0.6
"('One race',)","Las Vegas city, Nevada",95.40%,total_number_of_races_reported,±0.7
"('One race',)","Los Angeles city, California",96.50%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.30%,total_number_of_races_reported,±0.4
"('One race',)","Milwaukee city, Wisconsin",96.30%,total_number_of_races_reported,±0.5
"('One race',)","New York city, New York",96.90%,total_number_of_races_reported,±0.2
"('One race',)","Oklahoma City city, Oklahoma",93.80%,total_number_of_races_reported,±0.7
"('One race',)","Philadelphia city, Pennsylvania",97.60%,total_number_of_races_reported,±0.4
"('One race',)","Phoenix city, Arizona",96.70%,total_number_of_races_reported,±0.4
"('One race',)","Portland city, Oregon",94.90%,total_number_of_races_reported,±0.6
"('One race',)","San Antonio city, Texas",97.50%,total_number_of_races_reported,±0.3
"('One race',)","San Diego city, California",95.30%,total_number_of_races_reported,±0.4
"('One race',)","San Francisco city, California",95.50%,total_number_of_races_reported,±0.4
"('One race',)","San Jose city, California",95.10%,total_number_of_races_reported,±0.5
"('One race',)","Seattle city, Washington",93.80%,total_number_of_races_reported,±0.7
"('One race',)","Tucson city, Arizona",95.50%,total_number_of_races_reported,±0.7
"('One race',)","Washington city, District of Columbia",96.80%,total_number_of_races_reported,±0.5
"('Two races',)","Albuquerque city, New Mexico",3.30%,total_number_of_races_reported,±0.5
"('Two races',)","Austin city, Texas",3.40%,total_number_of_races_reported,±0.4
"('Two races',)","Baltimore city, Maryland",1.90%,total_number_of_races_reported,±0.4
"('Two races',)","Boston city, Massachusetts",4.20%,total_number_of_races_reported,±0.6
"('Two races',)","Charlotte city, North Carolina",2.20%,total_number_of_races_reported,±0.4
"('Two races',)","Chicago city, Illinois",2.20%,total_number_of_races_reported,±0.2
"('Two races',)","Columbus city, Ohio",3.20%,total_number_of_races_reported,±0.4
"('Two races',)","Dallas city, Texas",2.10%,total_number_of_races_reported,±0.3
"('Two races',)","Denver city, Colorado",3.10%,total_number_of_races_reported,±0.4
"('Two races',)","Detroit city, Michigan",1.50%,total_number_of_races_reported,±0.3
"('Two races',)","El Paso city, Texas",1.80%,total_number_of_races_reported,±0.3
"('Two races',)","Fort Worth city, Texas",3.50%,total_number_of_races_reported,±0.8
"('Two races',)","Fresno city, California",4.40%,total_number_of_races_reported,±1.1
"('Two races',)","Houston city, Texas",2.00%,total_number_of_races_reported,±0.2
"('Two races',)","Indianapolis city (balance), Indiana",2.40%,total_number_of_races_reported,±0.3
"('Two races',)","Jacksonville city, Florida",3.20%,total_number_of_races_reported,±0.6
